# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Batchcode Search Term
# 20230211-20230411
# ----------------------------------------

Land,United States,Germany,Canada,Italy,United Kingdom,Japan,Brazil,Australia,Poland,Austria,Hungary,Netherlands,Romania,France,Switzerland,Spain,Sweden,Philippines,New Zealand,Mexico,Gesamt
Batchcode Search Term,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl
EW0170,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
025A21A,34,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,40
EP7533,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
ER7812,0,34,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,40
ET3674,0,35,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,40
EW0221,4,0,34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40
FC2336,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
FD7208,0,0,29,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,40
037K20A,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
ABZ5320,0,34,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,39
EN5318,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
ER2613,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
EW4109,1,0,3,1,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39
FF,7,2,2,1,11,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,39
FH8027,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
PV46671,7,0,0,0,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,39
EW0183,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
FE3380,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
010M20A,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
013M20A,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1C006A,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1E021A,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
3002918,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,37
EK9231,32,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37
EN6206,31,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37
ER8736,33,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
EW0179,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
EW4815,0,1,0,0,0,1,0,0,0,5,8,1,10,1,0,0,0,0,0,0,37
EX0438,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
EX3014,0,1,0,0,2,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,37
FA9093,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
FD7209,0,0,0,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,37
