# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230125-20230325
# ----------------------------------------

Country,United States,Germany,Canada,United Kingdom,Italy,Totals
Clicked Batchcode,Event count,Event count,Event count,Event count,Event count,Event count
1808978,1,0,0,0,0,2
1855191,0,0,0,0,0,2
1855835,2,0,0,0,0,2
1B002A,0,1,0,0,0,2
1B004A,0,0,0,0,0,2
1C005A,0,0,0,0,0,2
1C009A,0,2,0,0,0,2
1D014A,0,2,0,0,0,2
1F1010A,0,2,0,0,0,2
1F1021A,0,2,0,0,0,2
1F1024A,0,2,0,0,0,2
1H048A,0,2,0,0,0,2
201A21A,2,0,0,0,0,2
206C21A,0,0,0,0,0,2
210074,0,1,0,0,0,2
214008,0,0,0,0,0,2
214010,0,0,0,0,0,2
214012,0,1,0,0,0,2
214014,0,0,0,0,2,2
3-Y71/EJ6796,0,0,0,0,0,2
3000496,0,0,0,0,0,2
3001659,0,0,0,0,0,2
3002541,0,0,0,0,0,2
3002544,0,1,0,0,0,2
3003184,0,0,0,0,0,2
3003607,0,0,0,2,0,2
3004219,0,0,0,0,0,2
3004219/3004494,0,0,0,0,0,2
3004233,0,2,0,0,0,2
30042460,0,0,0,0,0,2
3004495,0,0,0,0,0,2
3005687 SCAD 02,0,0,0,0,2,2
30130AB,2,0,0,0,0,2
30155BA,2,0,0,0,0,2
32010BD,0,0,0,0,0,2
320308D,2,0,0,0,0,2
33036BD,2,0,0,0,0,2
49283017,0,0,0,0,2,2
52C21A,0,0,0,0,0,2
5501002,0,0,0,0,0,2
5501002/2100694,0,0,0,0,0,2
59267-1000-01,2,0,0,0,0,2
621A,0,0,0,0,0,2
6339,0,0,0,0,0,2
653285,0,0,0,0,0,2
939893,2,0,0,0,0,2
ACB4447,0,2,0,0,0,2
ACB9148,0,2,0,0,0,2
ACC1336,0,1,0,0,1,2
AER8735,2,0,0,0,0,2
AS1414B,0,0,0,0,0,2
BNT162B2,0,0,0,0,0,2
CH-B -FC3095,0,2,0,0,0,2
CH.-B. EX3599,0,2,0,0,0,2
CH.-B.: EW8904,0,2,0,0,0,2
CH.-B.: FE7011,0,2,0,0,0,2
CH.-B.:1F1022A,0,2,0,0,0,2
CH.-B.:FD7958,0,2,0,0,0,2
CH.-B:1F1022A,0,2,0,0,0,2
CH.B.:EX3599,0,2,0,0,0,2
EC2971,0,0,0,0,0,2
EJ1685,2,0,0,0,0,2
EK1768,0,0,0,2,0,2
EK4241,0,0,0,0,0,2
EL1283,1,0,0,0,0,2
EL3249,1,1,0,0,0,2
EL9267,1,0,0,0,0,2
EM9809,2,0,0,0,0,2
EM9810,1,0,0,0,0,2
"EM9810, EN6203",0,2,0,0,0,2
EN6198 (1ST SHO,0,0,0,0,0,2
"EN6205, ER8730",2,0,0,0,0,2
EP2163 IZ65343A,0,0,0,0,0,2
EP7533,1,0,0,0,0,2
ER0866,0,0,0,0,0,2
ER7449,0,0,0,0,0,2
ER8732,1,0,0,0,0,2
ER8734,2,0,0,0,0,2
ER8736,2,0,0,0,0,2
ER8737,2,0,0,0,0,2
ER9470/EX0893,0,0,0,0,2,2
ER9480,0,2,0,0,0,2
ET3045,0,2,0,0,0,2
EU/1/20/1528,0,0,0,0,0,2
EW0150,1,0,0,0,0,2
EW0151,2,0,0,0,0,2
EW0161,2,0,0,0,0,2
EW0180,2,0,0,0,0,2
EW0186EXP,2,0,0,0,0,2
EW01876,0,0,0,0,1,2
EW0198,0,0,0,0,0,2
EW2239,0,0,0,0,0,2
EW2243,0,0,0,0,0,2
EW3143,0,0,0,2,0,2
EW4811,0,0,0,0,0,2
EX0893,0,0,0,0,2,2
EX3617,0,0,0,1,0,2
EX8678,0,2,0,0,0,2
EX8679,0,2,0,0,0,2
EY0574,0,0,0,0,0,2
EY0575,0,0,0,0,0,2
EY0584,1,0,0,0,0,2
EYO5E6,0,0,0,0,0,2
F032B21A,1,0,0,0,0,2
F2595,0,0,2,0,0,2
FA4598,0,0,0,0,0,2
FA5715,0,0,0,0,0,2
FA7478,0,0,0,0,0,2
FA7484,2,0,0,0,0,2
FA7485,2,0,0,0,0,2
FA9093,0,0,2,0,0,2
FC0681F,0,0,0,0,0,2
FC3113,0,0,0,0,0,2
FC3183/FE3592,2,0,0,0,0,2
FC5029,0,0,0,0,0,2
FD 722,0,0,0,0,0,2
FD5613 /FE3380,0,0,0,0,0,2
FD9309,0,0,0,0,0,2
FE2707,0,0,0,0,2,2
FE3380,0,0,0,1,0,2
FE3594,2,0,0,0,0,2
FE8244,0,1,0,0,0,2
FE8405,0,0,0,0,0,2
FE8590,1,0,0,0,0,2
FF2593,2,0,0,0,0,2
FF2752,0,0,0,0,2,2
FF2834,0,0,0,0,0,2
FF4213,0,0,0,0,0,2
FF4222,0,0,0,0,0,2
FF8839,2,0,0,0,0,2
FF8845,0,0,0,0,0,2
FG3531,0,0,0,0,0,2
FG3739,0,1,0,0,1,2
FG4442,0,0,0,0,0,2
FG4509,0,0,0,0,0,2
FG7387,0,0,0,0,2,2
FH3219,0,0,0,0,0,2
FH4092-002,0,0,0,0,0,2
FH8027,2,0,0,0,0,2
FH8469,0,0,0,0,2,2
FJ8198,0,0,0,0,0,2
FJ8763,0,0,0,0,0,2
FJA762,0,0,0,0,0,2
FK5127,1,0,0,0,0,2
FK6304,0,0,0,0,2,2
FK9894,2,0,0,0,0,2
FL3198,2,0,0,0,0,2
FM2948,0,0,0,0,0,2
FN1430,0,0,0,0,0,2
FN1455,0,0,0,0,0,2
FN1672,0,0,0,0,0,2
FN2908,1,0,0,0,0,2
FP8191,0,0,0,0,2,2
FT7280,0,0,0,0,0,2
H.-B.: EJ6796,0,0,0,0,0,2
JA3524,0,0,0,0,0,2
LFM3809,0,0,0,0,0,2
LOT 3004233,0,2,0,0,0,2
LOT# 032B21A,2,0,0,0,0,2
LOT092F21A,0,2,0,0,0,2
LOT3004215,0,0,0,0,0,2
MODERNA 002A21A,2,0,0,0,0,2
MODERNA 037C21A,2,0,0,0,0,2
MT0055,0,0,0,0,0,2
NK0155,0,0,0,0,0,2
NP001,0,0,0,0,0,2
P0001332,2,0,0,0,0,2
PCA0003,0,0,0,0,0,2
PF330308D,2,0,0,0,0,2
PFIZER EK9231,1,0,0,0,0,2
PFIZER EL9261,2,0,0,0,0,2
PFIZER FC3182,2,0,0,0,0,2
PFIZER FC3183,2,0,0,0,0,2
